timestamp_ms,session_id,type,state,address
1747216788328,apn:internet,,,
1747216788328,s-nssai:,,,
1747216788328,sst:0x01,,,
1747216788328,sd:null,,,
1747216788328,emergency:false,,,
1747216788328,address:10.45.0.10,,,
1747216788328,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216788328,data-pending:false,,,
1747216789483,session-type:IPv4,,,
1747216789483,apn:internet,,,
1747216789483,s-nssai:,,,
1747216789483,sst:0x01,,,
1747216789483,sd:null,,,
1747216789483,emergency:false,,,
1747216789483,address:10.45.0.10,,,
1747216789483,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216789483,data-pending:false,,,
1747216790628,session-type:IPv4,,,
1747216790628,apn:internet,,,
1747216790628,s-nssai:,,,
1747216790628,sst:0x01,,,
1747216790628,sd:null,,,
1747216790628,emergency:false,,,
1747216790628,address:10.45.0.10,,,
1747216790628,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216790628,data-pending:false,,,
1747216791801,session-type:IPv4,,,
1747216791801,apn:internet,,,
1747216791801,s-nssai:,,,
1747216791801,sst:0x01,,,
1747216791801,sd:null,,,
1747216791801,emergency:false,,,
1747216791801,address:10.45.0.10,,,
1747216791801,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216791801,data-pending:false,,,
1747216792973,session-type:IPv4,,,
1747216792973,apn:internet,,,
1747216792973,s-nssai:,,,
1747216792973,sst:0x01,,,
1747216792973,sd:null,,,
1747216792973,emergency:false,,,
1747216792973,address:10.45.0.10,,,
1747216792973,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216792973,data-pending:false,,,
1747216794149,session-type:IPv4,,,
1747216794149,apn:internet,,,
1747216794149,s-nssai:,,,
1747216794149,sst:0x01,,,
1747216794149,sd:null,,,
1747216794149,emergency:false,,,
1747216794149,address:10.45.0.10,,,
1747216794149,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216794149,data-pending:false,,,
1747216795343,session-type:IPv4,,,
1747216795343,apn:internet,,,
1747216795343,s-nssai:,,,
1747216795343,sst:0x01,,,
1747216795343,sd:null,,,
1747216795343,emergency:false,,,
1747216795343,address:10.45.0.10,,,
1747216795343,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216795343,data-pending:false,,,
1747216796533,session-type:IPv4,,,
1747216796533,apn:internet,,,
1747216796533,s-nssai:,,,
1747216796533,sst:0x01,,,
1747216796533,sd:null,,,
1747216796533,emergency:false,,,
1747216796533,address:10.45.0.10,,,
1747216796533,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216796533,data-pending:false,,,
1747216797701,session-type:IPv4,,,
1747216797701,apn:internet,,,
1747216797701,s-nssai:,,,
1747216797701,sst:0x01,,,
1747216797701,sd:null,,,
1747216797701,emergency:false,,,
1747216797701,address:10.45.0.10,,,
1747216797701,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216797701,data-pending:false,,,
1747216798910,session-type:IPv4,,,
1747216798910,apn:internet,,,
1747216798910,s-nssai:,,,
1747216798910,sst:0x01,,,
1747216798910,sd:null,,,
1747216798910,emergency:false,,,
1747216798910,address:10.45.0.10,,,
1747216798910,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216798910,data-pending:false,,,
1747216800107,session-type:IPv4,,,
1747216800107,apn:internet,,,
1747216800107,s-nssai:,,,
1747216800107,sst:0x01,,,
1747216800107,sd:null,,,
1747216800107,emergency:false,,,
1747216800107,address:10.45.0.10,,,
1747216800107,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216800107,data-pending:false,,,
1747216801292,session-type:IPv4,,,
1747216801292,apn:internet,,,
1747216801292,s-nssai:,,,
1747216801292,sst:0x01,,,
1747216801292,sd:null,,,
1747216801292,emergency:false,,,
1747216801292,address:10.45.0.10,,,
1747216801292,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216801292,data-pending:false,,,
1747216802510,session-type:IPv4,,,
1747216802510,apn:internet,,,
1747216802510,s-nssai:,,,
1747216802510,sst:0x01,,,
1747216802510,sd:null,,,
1747216802510,emergency:false,,,
1747216802510,address:10.45.0.10,,,
1747216802510,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216802510,data-pending:false,,,
1747216803732,session-type:IPv4,,,
1747216803732,apn:internet,,,
1747216803732,s-nssai:,,,
1747216803732,sst:0x01,,,
1747216803732,sd:null,,,
1747216803732,emergency:false,,,
1747216803732,address:10.45.0.10,,,
1747216803732,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216803732,data-pending:false,,,
1747216804997,session-type:IPv4,,,
1747216804997,apn:internet,,,
1747216804997,s-nssai:,,,
1747216804997,sst:0x01,,,
1747216804997,sd:null,,,
1747216804997,emergency:false,,,
1747216804997,address:10.45.0.10,,,
1747216804997,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216804997,data-pending:false,,,
1747216806264,session-type:IPv4,,,
1747216806264,apn:internet,,,
1747216806264,s-nssai:,,,
1747216806264,sst:0x01,,,
1747216806264,sd:null,,,
1747216806264,emergency:false,,,
1747216806264,address:10.45.0.10,,,
1747216806264,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216806264,data-pending:false,,,
1747216807501,session-type:IPv4,,,
1747216807501,apn:internet,,,
1747216807501,s-nssai:,,,
1747216807501,sst:0x01,,,
1747216807501,sd:null,,,
1747216807501,emergency:false,,,
1747216807501,address:10.45.0.10,,,
1747216807501,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216807501,data-pending:false,,,
1747216808696,session-type:IPv4,,,
1747216808696,apn:internet,,,
1747216808696,s-nssai:,,,
1747216808696,sst:0x01,,,
1747216808696,sd:null,,,
1747216808696,emergency:false,,,
1747216808696,address:10.45.0.10,,,
1747216808696,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216808696,data-pending:false,,,
1747216809899,session-type:IPv4,,,
1747216809899,apn:internet,,,
1747216809899,s-nssai:,,,
1747216809899,sst:0x01,,,
1747216809899,sd:null,,,
1747216809899,emergency:false,,,
1747216809899,address:10.45.0.10,,,
1747216809899,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216809899,data-pending:false,,,
1747216811071,session-type:IPv4,,,
1747216811071,apn:internet,,,
1747216811071,s-nssai:,,,
1747216811071,sst:0x01,,,
1747216811071,sd:null,,,
1747216811071,emergency:false,,,
1747216811071,address:10.45.0.10,,,
